pattern,condition,stream_id,stream_seed,beta,u_diff_cp_minus_base,mean_l1_diff_cp_minus_base,terminal_l1_diff_cp_minus_base,tau_diff_cp_minus_base,osc_rate_diff_cp_minus_base
P2-n5,D-mismatch,3,20261231,0.3,-0.049001066084791156,0.0980021321695822,0.19017851404995215,7.0,-0.036363636363636376
P2-n5,D-mismatch,3,20261231,0.5,-0.08757459038507709,0.17514918077015423,0.34167583598101525,7.0,-0.0727272727272727
P2-n5,D-dependent,4,20261232,0.1,0.009047209388067246,-0.018094418776134547,-0.047822311633159476,0.0,0.0
P2-n5,D-dependent,4,20261232,0.3,0.00994873203809532,-0.019897464076190585,-0.1519862890451509,0.0,0.14545454545454545
P2-n5,D-dependent,4,20261232,0.5,0.000766822981595694,-0.001533645963191388,-0.26913407017916696,1.0,0.12727272727272726
P2-n5,D-independent,4,20261232,0.1,0.0,0.0,0.0,0.0,0.0
P2-n5,D-independent,4,20261232,0.3,0.0,0.0,0.0,0.0,0.0
P2-n5,D-independent,4,20261232,0.5,0.0,0.0,0.0,0.0,0.0
P2-n5,D-mismatch,4,20261232,0.1,-0.009054364444426088,0.018108728888852177,0.04543516804618847,0.0,0.0
P2-n5,D-mismatch,4,20261232,0.3,-0.032871238551427484,0.06574247710285497,0.13033599532044804,0.0,-0.10909090909090907
P2-n5,D-mismatch,4,20261232,0.5,-0.058080597282292756,0.11616119456458546,0.20896564316331478,5.0,-0.10909090909090907
P2-n5,D-dependent,5,20261233,0.1,0.011666902229580223,-0.023333804459160556,-0.04401145491352018,0.0,0.036363636363636376
P2-n5,D-dependent,5,20261233,0.3,0.02208147696204321,-0.04416295392408645,-0.12728989952118036,0.0,0.018181818181818188
P2-n5,D-dependent,5,20261233,0.5,0.023278224208726828,-0.0465564484174536,-0.2054630534964469,-2.0,0.054545454545454564
P2-n5,D-independent,5,20261233,0.1,0.0,0.0,0.0,0.0,0.0
P2-n5,D-independent,5,20261233,0.3,0.0,0.0,0.0,0.0,0.0
P2-n5,D-independent,5,20261233,0.5,0.0,0.0,0.0,0.0,0.0
P2-n5,D-mismatch,5,20261233,0.1,-0.01603438159307058,0.03206876318614099,0.045884313695142676,0.0,0.036363636363636376
P2-n5,D-mismatch,5,20261233,0.3,-0.0572461341672863,0.11449226833457249,0.14433849034497553,0.0,-0.03636363636363632
P2-n5,D-mismatch,5,20261233,0.5,-0.09868488095536843,0.19736976191073674,0.23616377588770254,1.0,-0.03636363636363632
P2-n5,D-dependent,6,20261234,0.1,0.021474887516145236,-0.04294977503229025,-0.07516595579746682,0.0,-0.018181818181818132
P2-n5,D-dependent,6,20261234,0.3,0.06593647506022693,-0.13187295012045386,-0.2467569263854198,-4.0,-0.03636363636363632
P2-n5,D-dependent,6,20261234,0.5,0.08866617764812013,-0.17733235529624014,-0.38045597093798766,-6.0,0.0
P2-n5,D-independent,6,20261234,0.1,0.0,0.0,0.0,0.0,0.0
P2-n5,D-independent,6,20261234,0.3,0.0,0.0,0.0,0.0,0.0
P2-n5,D-independent,6,20261234,0.5,0.0,0.0,0.0,0.0,0.0
P2-n5,D-mismatch,6,20261234,0.1,-0.021222496606354557,0.042444993212709226,0.07673315696778027,0.0,0.0
P2-n5,D-mismatch,6,20261234,0.3,-0.06125169894915938,0.12250339789831877,0.20813804773724365,0.0,-0.03636363636363632
P2-n5,D-mismatch,6,20261234,0.5,-0.10013214522272329,0.2002642904454468,0.3290198917945625,0.0,-0.018181818181818132
P2-n5,D-dependent,7,20261235,0.1,0.015126204143471211,-0.030252408286942423,-0.05417456519902622,0.0,-0.036363636363636376
P2-n5,D-dependent,7,20261235,0.3,0.024657544256542874,-0.04931508851308575,-0.1191665413395089,0.0,0.036363636363636376
P2-n5,D-dependent,7,20261235,0.5,0.02396698295469346,-0.04793396590938681,-0.19677262741081286,0.0,0.036363636363636376
P2-n5,D-independent,7,20261235,0.1,0.0,0.0,0.0,0.0,0.0
P2-n5,D-independent,7,20261235,0.3,0.0,0.0,0.0,0.0,0.0
P2-n5,D-independent,7,20261235,0.5,0.0,0.0,0.0,0.0,0.0
P2-n5,D-mismatch,7,20261235,0.1,-0.01757178601370102,0.03514357202740198,0.05508894823754901,0.0,-0.036363636363636376
P2-n5,D-mismatch,7,20261235,0.3,-0.05132968279577654,0.10265936559155314,0.15993816788323473,2.0,-0.054545454545454564
P2-n5,D-mismatch,7,20261235,0.5,-0.08409084866284045,0.16818169732568106,0.2583051977739925,2.0,-0.0727272727272727
P2-n5,D-dependent,8,20261236,0.1,8.65466324517783e-06,-1.730932649035566e-05,-0.0732474460595352,0.0,-0.03636363636363632
P2-n5,D-dependent,8,20261236,0.3,-0.005584671176840583,0.011169342353680944,-0.2040966663513053,-1.0,0.036363636363636376
P2-n5,D-dependent,8,20261236,0.5,-0.01585750026535626,0.03171500053071241,-0.3524974194389416,-2.0,0.0
P2-n5,D-independent,8,20261236,0.1,0.0,0.0,0.0,0.0,0.0
P2-n5,D-independent,8,20261236,0.3,0.0,0.0,0.0,0.0,0.0
P2-n5,D-independent,8,20261236,0.5,0.0,0.0,0.0,0.0,0.0
P2-n5,D-mismatch,8,20261236,0.1,0.00028663369873971334,-0.0005732673974796487,0.07555737122741624,0.0,0.0
P2-n5,D-mismatch,8,20261236,0.3,-0.00010594852769130192,0.0002118970553823818,0.1562145264456402,0.0,-0.09090909090909088
P2-n5,D-mismatch,8,20261236,0.5,-0.004493962251950534,0.008987924503900957,0.21674757691354424,0.0,-0.09090909090909088
P2-n5,D-dependent,9,20261237,0.1,0.016122131851106003,-0.032244263702211895,-0.0720861229868856,0.0,0.0
P2-n5,D-dependent,9,20261237,0.3,0.045816828089623174,-0.09163365617924629,-0.22038014488807528,-6.0,-0.018181818181818188
P2-n5,D-dependent,9,20261237,0.5,0.0721724498733366,-0.14434489974667308,-0.33120212470082383,-6.0,-0.036363636363636376
P2-n5,D-independent,9,20261237,0.1,0.0,0.0,0.0,0.0,0.0
P2-n5,D-independent,9,20261237,0.3,0.0,0.0,0.0,0.0,0.0
P2-n5,D-independent,9,20261237,0.5,0.0,0.0,0.0,0.0,0.0
P2-n5,D-mismatch,9,20261237,0.1,-0.017389491778555533,0.034778983557111065,0.06414961528299684,0.0,-0.036363636363636376
P2-n5,D-mismatch,9,20261237,0.3,-0.05259232751781051,0.10518465503562097,0.18282022677638926,0.0,-0.054545454545454564
P2-n5,D-mismatch,9,20261237,0.5,-0.08906824921735434,0.17813649843470886,0.2892096354401266,0.0,-0.036363636363636376
P2-n5,D-dependent,10,20261238,0.1,0.016846362935310277,-0.033692725870620555,-0.06366740879811605,-2.0,0.0
P2-n5,D-dependent,10,20261238,0.3,0.04334908678003635,-0.08669817356007264,-0.21511114979395687,-7.0,0.0
P2-n5,D-dependent,10,20261238,0.5,0.05694283074949469,-0.11388566149898938,-0.3606920869485475,-7.0,0.018181818181818188
P2-n5,D-independent,10,20261238,0.1,0.0,0.0,0.0,0.0,0.0
P2-n5,D-independent,10,20261238,0.3,0.0,0.0,0.0,0.0,0.0
P2-n5,D-independent,10,20261238,0.5,0.0,0.0,0.0,0.0,0.0
P2-n5,D-mismatch,10,20261238,0.1,-0.01759066936253917,0.03518133872507828,0.05699914288314345,0.0,0.0
P2-n5,D-mismatch,10,20261238,0.3,-0.056589452668574514,0.11317890533714914,0.15389031101459838,0.0,0.09090909090909088
P2-n5,D-mismatch,10,20261238,0.5,-0.09233438761368895,0.1846687752273779,0.25548418510121584,0.0,0.0727272727272727
P2-n5,D-dependent,11,20261239,0.1,0.02078154890136874,-0.041563097802737536,-0.06849640829325782,0.0,0.036363636363636376
P2-n5,D-dependent,11,20261239,0.3,0.04211235442084016,-0.08422470884168026,-0.18938903009310867,0.0,0.036363636363636376
P2-n5,D-dependent,11,20261239,0.5,0.043151568687297415,-0.08630313737459483,-0.29241675677801904,0.0,0.0
P2-n5,D-independent,11,20261239,0.1,0.0,0.0,0.0,0.0,0.0
P2-n5,D-independent,11,20261239,0.3,0.0,0.0,0.0,0.0,0.0
