pattern,condition,system,beta,turn,candidate,weight,distance_to_w_star,operator,target
P1-n4,D-dependent,coupled,0.3,17,2,0.014748088496684799,0.3305020673548879,sigma,1
P1-n4,D-dependent,coupled,0.3,17,3,8.778258712709694e-07,0.3305020673548879,sigma,1
P1-n4,D-dependent,coupled,0.3,18,0,0.6732367163800383,0.33050180882473723,delta,3
P1-n4,D-dependent,coupled,0.3,18,1,0.3120141880323303,0.33050180882473723,delta,3
P1-n4,D-dependent,coupled,0.3,18,2,0.014748095587631294,0.33050180882473723,delta,3
P1-n4,D-dependent,coupled,0.3,18,3,1.0000000001110223e-06,0.33050180882473723,delta,3
P1-n4,D-dependent,coupled,0.3,19,0,0.7532367163800383,0.34647343276007664,sigma,0
P1-n4,D-dependent,coupled,0.3,19,1,0.23951612427607308,0.34647343276007664,sigma,0
P1-n4,D-dependent,coupled,0.3,19,2,0.002875887318244113,0.34647343276007664,sigma,0
P1-n4,D-dependent,coupled,0.3,19,3,0.004371272025644514,0.34647343276007664,sigma,0
P1-n4,D-dependent,coupled,0.3,20,0,0.7561246678693124,0.3524379140428495,delta,2
P1-n4,D-dependent,coupled,0.3,20,1,0.24009428915211237,0.3524379140428495,delta,2
P1-n4,D-dependent,coupled,0.3,20,2,1e-06,0.3524379140428495,delta,2
P1-n4,D-dependent,coupled,0.3,20,3,0.003780042978575293,0.3524379140428495,delta,2
P1-n4,D-dependent,coupled,0.3,21,0,0.8361246678693124,0.5122493357386249,sigma,0
P1-n4,D-dependent,coupled,0.3,21,1,0.1578647586970974,0.5122493357386249,sigma,0
P1-n4,D-dependent,coupled,0.3,21,2,6.145125266043669e-07,0.5122493357386249,sigma,0
P1-n4,D-dependent,coupled,0.3,21,3,0.0060099589210636,0.5122493357386249,sigma,0
P1-n4,D-dependent,coupled,0.3,22,0,0.7472269740936681,0.3344539481873362,sigma,1
P1-n4,D-dependent,coupled,0.3,22,1,0.2378647586970975,0.3344539481873362,sigma,1
P1-n4,D-dependent,coupled,0.3,22,2,0.014907379897649106,0.3344539481873362,sigma,1
P1-n4,D-dependent,coupled,0.3,22,3,8.873115853312454e-07,0.3344539481873362,sigma,1
P1-n4,D-dependent,coupled,0.3,23,0,0.7472269009237512,0.33445380184750245,delta,3
P1-n4,D-dependent,coupled,0.3,23,1,0.2378647126588437,0.33445380184750245,delta,3
P1-n4,D-dependent,coupled,0.3,23,2,0.014907386417405069,0.33445380184750245,delta,3
P1-n4,D-dependent,coupled,0.3,23,3,1e-06,0.33445380184750245,delta,3
